Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
62	27	0	0.931705661	299.51515	299.527085	299.515044	299.555139	0.0400954728	0	0	0	0	0	3
63	27	0	0.946733171	299.515198	299.52591	299.515044	299.553851	0.0388068712	0	0	0	0	0	3
64	28	0	0.961760682	299.515055	299.524769	299.515044	299.546981	0.0319372321	0	0	0	0	0	3
65	28	0	0.976788193	299.516796	299.523881	299.515044	299.544179	0.0291354888	0	0	0	0	0	3
66	29	0	0.991815703	299.516914	299.52308	299.515044	299.542773	0.0277296944	0	0	0	0	0	3
67	29	0	1.00684321	299.51692	299.522319	299.515044	299.541515	0.026471014	0.0496082972	0	0	0	0	3
68	30	0	1.02187072	299.516906	299.521595	299.515044	299.540643	0.0255995943	0.0496082972	0	0	0	0	3
69	30	0	1.03689824	299.516991	299.5209	299.515044	299.539327	0.0242830897	0.0496082972	0	0	0	0	3
70	31	0	1.05192575	299.516886	299.52024	299.515044	299.538441	0.0233977098	0.0496082972	0	0	0	0	3
71	31	0	1.06695326	299.516809	299.519603	299.515044	299.528135	0.013091765	0.0496082972	0	0	0	0	3
72	31	0	1.08198077	299.516935	299.519274	299.515044	299.527036	0.0119920604	0.0496082972	0	0	0	0	3
73	32	0	1.09700828	299.516826	299.518974	299.515044	299.526305	0.0112608761	0.0496082972	0	0	0	0	3
74	32	0	1.11203579	299.516764	299.518693	299.515044	299.525857	0.0108136271	0.0496082972	0	0	0	0	3
75	33	0	1.1270633	299.515906	299.5184	299.515044	299.525466	0.0104219434	0.0496082972	0	0	0	0	3
76	33	0	1.14209081	299.5158	299.518116	299.515044	299.525423	0.0103792559	0.0496082972	0	0	0	0	3
77	33	0	1.15711832	299.51595	299.517838	299.515044	299.525423	0.0103792559	0.0496082972	0	0	0	0	3
78	34	0	1.17214583	299.515715	299.517555	299.515044	299.525423	0.0103792559	0.0496082972	0	0	0	0	3
79	34	0	1.18717334	299.515632	299.517267	299.515044	299.521166	0.00612199279	0.0496082972	0	0	0	0	3
80	35	0	1.20220085	299.515556	299.517102	299.515044	299.521035	0.00599141421	0.0496082972	0	0	0	0	3
81	35	0	1.21722836	299.51555	299.516941	299.515044	299.520893	0.00584891764	0.0496082972	0	0	0	0	3
82	35	0	1.23225587	299.515546	299.516783	299.515044	299.520883	0.00583906768	0.0496082972	0	0	0	0	3
83	36	0	1.24728338	299.51561	299.516629	299.515044	299.520883	0.00583906768	0.0496082972	0	0	0	0	3
84	36	0	1.2623109	299.515576	299.516476	299.515044	299.520883	0.00583906768	0.0496082972	0	0	0	0	3
85	36	0	1.27733841	299.515065	299.516305	299.515044	299.520663	0.00561937985	0.0496082972	0	0	0	0	3
86	37	0	1.29236592	299.514793	299.516133	299.514793	299.520635	0.00584178322	0.0496082972	0	0	0	0	3
87	37	0	1.30739343	299.514746	299.51596	299.514746	299.520635	0.00588843064	0.0496082972	0	0	0	0	3
88	38	0	1.32242094	299.514692	299.515785	299.514692	299.516991	0.00229857377	0.0496082972	0	0	0	0	3
89	38	0	1.33744845	299.514681	299.515756	299.514681	299.516991	0.00231012302	0.0496082972	0	0	0	0	3
90	38	0	1.35247596	299.514608	299.515737	299.514608	299.516991	0.00238267499	0.0496082972	0	0	0	0	3
91	39	0	1.36750347	299.514616	299.515722	299.514608	299.516991	0.00238267499	0.0496082972	0	0	0	0	3
