Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
55	24	0	0.826513086	0.980034969	0.980034969	0.980034969	0.980034969	2.22044605e-16	0	0	0	0	0	3
56	25	0	0.841540597	0.980034969	0.980034969	0.980034969	0.980034969	2.22044605e-16	0	0	0	0	0	3
57	25	0	0.856568107	0.980034969	0.980034969	0.980034969	0.980034969	2.22044605e-16	0	0	0	0	0	3
58	25	0	0.871595618	0.980034969	0.980034969	0.980034969	0.980034969	2.22044605e-16	0	0	0	0	0	3
59	26	0	0.886623129	0.980034969	0.980034969	0.980034969	0.980034969	2.22044605e-16	0	0	0	0	0	3
60	26	0	0.901650639	0.980034969	0.980034969	0.980034969	0.980034969	2.22044605e-16	0	0	0	0	0	3
61	27	0	0.91667815	0.980034969	0.980034969	0.980034969	0.980034969	2.22044605e-16	0	0	0	0	0	3
62	27	0	0.931705661	0.980034969	0.980034969	0.980034969	0.980034969	2.22044605e-16	0	0	0	0	0	3
63	27	0	0.946733171	0.980034969	0.980034969	0.980034969	0.980034969	2.22044605e-16	0	0	0	0	0	3
64	28	0	0.961760682	0.980034969	0.980034969	0.980034969	0.980034969	2.22044605e-16	0	0	0	0	0	3
65	28	0	0.976788193	0.980034969	0.980034969	0.980034969	0.980034969	2.22044605e-16	0	0	0	0	0	3
66	29	0	0.991815703	0.980034969	0.980034969	0.980034969	0.980034969	1.11022302e-16	0	0	0	0	0	3
67	29	0	1.00684321	0.980034969	0.980034969	0.980034969	0.980034969	0	9.80034969e-09	0	0	0	0	3
68	30	0	1.02187072	0.980034969	0.980034969	0.980034969	0.980034969	0	9.80034969e-09	0	0	0	0	3
69	30	0	1.03689824	0.980034969	0.980034969	0.980034969	0.980034969	0	9.80034969e-09	0	0	0	0	3
70	31	0	1.05192575	0.980034969	0.980034969	0.980034969	0.980034969	0	9.80034969e-09	0	0	0	0	3
71	31	0	1.06695326	0.980034969	0.980034969	0.980034969	0.980034969	0	9.80034969e-09	0	0	0	0	3
72	31	0	1.08198077	0.980034969	0.980034969	0.980034969	0.980034969	0	9.80034969e-09	0	0	0	0	3
73	32	0	1.09700828	0.980034969	0.980034969	0.980034969	0.980034969	0	9.80034969e-09	0	0	0	0	3
74	32	0	1.11203579	0.980034969	0.980034969	0.980034969	0.980034969	0	9.80034969e-09	0	0	0	0	3
75	33	0	1.1270633	0.980034969	0.980034969	0.980034969	0.980034969	0	9.80034969e-09	0	0	0	0	3
76	33	0	1.14209081	0.980034969	0.980034969	0.980034969	0.980034969	0	9.80034969e-09	0	0	0	0	3
77	33	0	1.15711832	0.980034969	0.980034969	0.980034969	0.980034969	0	9.80034969e-09	0	0	0	0	3
78	34	0	1.17214583	0.980034969	0.980034969	0.980034969	0.980034969	0	9.80034969e-09	0	0	0	0	3
79	34	0	1.18717334	0.980034969	0.980034969	0.980034969	0.980034969	0	9.80034969e-09	0	0	0	0	3
80	35	0	1.20220085	0.980034969	0.980034969	0.980034969	0.980034969	0	9.80034969e-09	0	0	0	0	3
81	35	0	1.21722836	0.980034969	0.980034969	0.980034969	0.980034969	0	9.80034969e-09	0	0	0	0	3
82	35	0	1.23225587	0.980034969	0.980034969	0.980034969	0.980034969	0	9.80034969e-09	0	0	0	0	3
83	36	0	1.24728338	0.980034969	0.980034969	0.980034969	0.980034969	0	9.80034969e-09	0	0	0	0	3
84	36	0	1.2623109	0.980034969	0.980034969	0.980034969	0.980034969	0	9.80034969e-09	0	0	0	0	3
85	36	0	1.27733841	0.980034969	0.980034969	0.980034969	0.980034969	0	9.80034969e-09	0	0	0	0	3
86	37	0	1.29236592	0.980034969	0.980034969	0.980034969	0.980034969	0	9.80034969e-09	0	0	0	0	3
87	37	0	1.30739343	0.980034969	0.980034969	0.980034969	0.980034969	0	9.80034969e-09	0	0	0	0	3
88	38	0	1.32242094	0.980034969	0.980034969	0.980034969	0.980034969	0	9.80034969e-09	0	0	0	0	3
89	38	0	1.33744845	0.980034969	0.980034969	0.980034969	0.980034969	0	9.80034969e-09	0	0	0	0	3
90	38	0	1.35247596	0.980034969	0.980034969	0.980034969	0.980034969	0	9.80034969e-09	0	0	0	0	3
91	39	0	1.36750347	0.980034969	0.980034969	0.980034969	0.980034969	0	9.80034969e-09	0	0	0	0	3
92	39	0	1.38253098	0.980034969	0.980034969	0.980034969	0.980034969	0	9.80034969e-09	0	0	0	0	3
93	39	0	1.39755849	0.980034969	0.980034969	0.980034969	0.980034969	0	9.80034969e-09	0	0	0	0	3
94	40	0	1.412586	0.980034969	0.980034969	0.980034969	0.980034969	0	9.80034969e-09	0	0	0	0	3
95	40	0	1.42761351	0.980034969	0.980034969	0.980034969	0.980034969	0	9.80034969e-09	0	0	0	0	3
96	41	0	1.44264102	0.980034969	0.980034969	0.980034969	0.980034969	0	9.80034969e-09	0	0	0	0	3
97	41	0	1.45766853	0.980034969	0.980034969	0.980034969	0.980034969	0	9.80034969e-09	0	0	0	0	3
98	41	0	1.47269604	0.980034969	0.980034969	0.980034969	0.980034969	0	9.80034969e-09	0	0	0	0	3
99	42	0	1.48772355	0.980034969	0.980034969	0.980034969	0.980034969	0	9.80034969e-09	0	0	0	0	3
100	42	0	1.50275107	0.980034969	0.980034969	0.980034969	0.980034969	0	9.80034969e-09	0	0	0	0	3
