Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
56	25	0	0.841540597	-18.542519	-18.4339394	-21.4065296	-16.2255425	5.18098709	0	0	0	0	0	3
57	25	0	0.856568107	-18.4567682	-18.3471817	-21.2565386	-16.2255425	5.0309961	0	0	0	0	0	3
58	25	0	0.871595618	-17.4870447	-18.2365951	-21.2565386	-16.2255425	5.0309961	0	0	0	0	0	3
59	26	0	0.886623129	-17.5169511	-18.1266072	-20.8346669	-16.2255425	4.60912442	0	0	0	0	0	3
60	26	0	0.901650639	-17.0929775	-18.0165576	-20.4929582	-16.2255425	4.26741575	0	0	0	0	0	3
61	27	0	0.91667815	-16.5607152	-17.9009033	-20.2266275	-16.2255425	4.00108504	0	0	0	0	0	3
62	27	0	0.931705661	-16.1656056	-17.7814615	-19.9466395	-16.1656056	3.78103393	0	0	0	0	0	3
63	27	0	0.946733171	-16.1922878	-17.6710394	-19.6583557	-16.1656056	3.49275017	0	0	0	0	0	3
64	28	0	0.961760682	-16.1030597	-17.5664719	-19.1526182	-16.1030597	3.04955851	0	0	0	0	0	3
65	28	0	0.976788193	-16.4194294	-17.4865397	-19.1526182	-16.1030597	3.04955851	0	0	0	0	0	3
66	29	0	0.991815703	-16.5511851	-17.4234459	-19.1526182	-16.1030597	3.04955851	0	0	0	0	0	3
67	29	0	1.00684321	-16.7805311	-17.3789156	-19.1526182	-16.1030597	3.04955851	10.8542307	0	0	0	0	3
68	30	0	1.02187072	-17.2424396	-17.3580491	-19.1526182	-16.1030597	3.04955851	10.8542307	0	0	0	0	3
69	30	0	1.03689824	-16.6175313	-17.3262884	-19.1526182	-16.1030597	3.04955851	10.8542307	0	0	0	0	3
70	31	0	1.05192575	-16.8174154	-17.308335	-19.1526182	-16.1030597	3.04955851	10.8542307	0	0	0	0	3
71	31	0	1.06695326	-16.5879715	-17.289521	-19.1526182	-16.1030597	3.04955851	10.8542307	0	0	0	0	3
72	31	0	1.08198077	-16.4190498	-17.2761542	-19.1526182	-16.1030597	3.04955851	10.8542307	0	0	0	0	3
73	32	0	1.09700828	-16.798305	-17.2812628	-19.1526182	-16.1030597	3.04955851	10.8542307	0	0	0	0	3
74	32	0	1.11203579	-16.5616847	-17.2855365	-19.1526182	-16.1030597	3.04955851	10.8542307	0	0	0	0	3
75	33	0	1.1270633	-16.1855166	-17.2835307	-19.1526182	-16.1030597	3.04955851	10.8542307	0	0	0	0	3
76	33	0	1.14209081	-17.0158542	-17.3067752	-19.1526182	-16.1030597	3.04955851	10.8542307	0	0	0	0	3
77	33	0	1.15711832	-16.221753	-17.3000124	-19.1526182	-16.1030597	3.04955851	10.8542307	0	0	0	0	3
78	34	0	1.17214583	-16.9907137	-17.3059543	-19.1526182	-16.1030597	3.04620049	10.8542307	0	0	0	0	3
79	34	0	1.18717334	-16.3798062	-17.2843013	-19.1526182	-16.1030597	2.72231717	10.8542307	0	0	0	0	3
80	35	0	1.20220085	-16.5592731	-17.2588404	-19.1526182	-16.1030597	2.47539732	10.8542307	0	0	0	0	3
81	35	0	1.21722836	-16.7246439	-17.2296415	-19.1526182	-16.1030597	2.27918019	10.8542307	0	0	0	0	3
82	35	0	1.23225587	-16.5638763	-17.1881777	-19.1526182	-16.1030597	2.11687102	10.8542307	0	0	0	0	3
83	36	0	1.24728338	-16.4346204	-17.1353382	-19.1526182	-16.1030597	1.99763736	10.8542307	0	0	0	0	3
84	36	0	1.2623109	-16.7673505	-17.0854416	-19.1526182	-16.1030597	1.89909207	10.8542307	0	0	0	0	3
85	36	0	1.27733841	-16.2838744	-17.0129094	-19.1526182	-16.1030597	1.84108514	10.8542307	0	0	0	0	3
86	37	0	1.29236592	-16.6987395	-16.9456963	-19.1526182	-16.1030597	1.80365361	10.8542307	0	0	0	0	3
87	37	0	1.30739343	-16.7251813	-16.8743011	-19.0813051	-16.1030597	1.77042134	10.8542307	0	0	0	0	3
88	38	0	1.32242094	-16.4568426	-16.7971111	-18.542519	-16.1030597	1.73105426	10.8542307	0	0	0	0	3
89	38	0	1.33744845	-16.7383845	-16.754703	-18.542519	-16.1030597	1.67923639	10.8542307	0	0	0	0	3
90	38	0	1.35247596	-16.311756	-16.6890923	-18.4567682	-16.1030597	1.65808938	10.8542307	0	0	0	0	3
91	39	0	1.36750347	-16.697801	-16.637358	-17.5169511	-16.1030597	1.4138914	10.8542307	0	0	0	0	3
92	39	0	1.38253098	-16.534409	-16.6093393	-17.5169511	-16.1030597	1.4138914	10.8542307	0	0	0	0	3
93	39	0	1.39755849	-16.3843126	-16.5760264	-17.2424396	-16.1030597	1.13937989	10.8542307	0	0	0	0	3
94	40	0	1.412586	-16.8138239	-16.567816	-17.2424396	-16.1030597	1.13937989	10.8542307	0	0	0	0	3
95	40	0	1.42761351	-16.3041849	-16.560271	-17.2424396	-16.1030597	1.13937989	10.8542307	0	0	0	0	3
96	41	0	1.44264102	-16.5762303	-16.5723482	-17.2424396	-16.1030597	1.11076843	10.8542307	0	0	0	0	3
97	41	0	1.45766853	-16.1472924	-16.5710248	-17.2424396	-16.1030597	1.0062009	10.8542307	0	0	0	0	3
98	41	0	1.47269604	-16.8391012	-16.5926731	-17.2424396	-16.1472924	0.926268724	10.8542307	0	0	0	0	3
99	42	0	1.48772355	-16.2499534	-16.5876885	-17.2424396	-16.1472924	0.863174879	10.8542307	0	0	0	0	3
100	42	0	1.50275107	-16.4719221	-16.5853572	-17.2424396	-16.1472924	0.81864458	10.8542307	0	0	0	0	3
101	43	0	1.51777858	-16.4238741	-16.5748673	-17.2424396	-16.1472924	0.797778163	10.8542307	0	0	0	0	3
102	43	0	1.53280609	-16.1534645	-16.5428386	-17.0158542	-16.1472924	0.783449773	10.8542307	0	0	0	0	3
103	43	0	1.5478336	-16.4714214	-16.5385413	-17.0158542	-16.1472924	0.769793769	10.8542307	0	0	0	0	3
104	44	0	1.56286111	-16.3861147	-16.525856	-17.0158542	-16.1472924	0.780919197	10.8542307	0	0	0	0	3
105	44	0	1.57788862	-16.4004566	-16.5203408	-17.0158542	-16.1472924	0.786434339	10.8542307	0	0	0	0	3
106	44	0	1.59291613	-16.5527318	-16.5242726	-17.0158542	-16.1472924	0.786434339	10.8542307	0	0	0	0	3
107	45	0	1.60794364	-16.3631939	-16.5114753	-17.0158542	-16.1472924	0.795299903	10.8542307	0	0	0	0	3
108	45	0	1.62297115	-16.5734616	-16.5118216	-17.0158542	-16.1472924	0.795299903	10.8542307	0	0	0	0	3
109	45	0	1.63799866	-16.0106194	-16.5066776	-17.0158542	-16.0106194	0.800097555	10.8542307	0	0	0	0	3
110	46	0	1.65302617	-16.7082007	-16.497629	-16.9907137	-16.0106194	0.808325336	10.8542307	0	0	0	0	3
111	46	0	1.66805368	-15.9172151	-16.488672	-16.9907137	-15.9172151	0.817282333	10.8542307	0	0	0	0	3
112	46	0	1.68308119	-16.7564715	-16.4817825	-16.8391012	-15.9172151	0.802518793	10.8542307	0	0	0	0	3
113	47	0	1.6981087	-16.2276701	-16.4773079	-16.8391012	-15.9172151	0.781532489	10.8542307	0	0	0	0	3
114	47	0	1.71313621	-16.1418439	-16.4650306	-16.8391012	-15.9172151	0.764610955	10.8542307	0	0	0	0	3
115	48	0	1.72816373	-16.7216391	-16.4649422	-16.8391012	-15.9172151	0.723235462	10.8542307	0	0	0	0	3
116	48	0	1.74319124	-16.053772	-16.4499391	-16.8391012	-15.9172151	0.685399118	10.8542307	0	0	0	0	3
117	48	0	1.75821875	-16.6703072	-16.4568711	-16.8391012	-15.9172151	0.635502451	10.8542307	0	0	0	0	3
118	49	0	1.77324626	-15.9560353	-16.4330089	-16.8391012	-15.9172151	0.579900502	10.8542307	0	0	0	0	3
119	49	0	1.78827377	-16.6944198	-16.4450838	-16.8391012	-15.9172151	0.512687458	10.8542307	0	0	0	0	3
120	49	0	1.80330128	-15.7364982	-16.4167825	-16.8391012	-15.7364982	0.457518606	10.8542307	0	0	0	0	3
121	50	0	1.81832879	-16.8995593	-16.4219113	-16.8995593	-15.7364982	0.38032853	10.8542307	0	0	0	0	3
122	50	0	1.8333563	-16.0767667	-16.4107326	-16.8995593	-15.7364982	0.343970394	10.8542307	0	0	0	0	3
123	50	0	1.84838381	-16.6146918	-16.4070946	-16.8995593	-15.7364982	0.281997739	10.8542307	0	0	0	0	3
